ID of division into periods ,FLR,OLR2d,OLR14d
01,0.239974629,0.099182326,0.177799009
02,0.251615115,0.103054318,0.179681768
03,0.249603095,0.099754214,0.175388643
04,0.249831086,0.095470258,0.169866787
05,0.247655184,0.096407876,0.170348039
06,0.249467069,0.094973386,0.166710382
07,0.236461936,0.094581342,0.164908006
08,0.233851687,0.092050648,0.163114107
09,0.231029492,0.090173705,0.163749068
10,0.227873787,0.091970574,0.161292198
11,0.225499864,0.091922388,0.161104103
12,0.222581443,0.091524395,0.16009341
13,0.222115423,0.092447366,0.15984396
14,0.213146142,0.099307207,0.161774355
15,0.216988088,0.10226472,0.161528852
16,0.211355042,0.103127039,0.164592019
17,0.211355042,0.103127039,0.164592019