avg,p2sigma,m2sigma
-0.018379459,-0.006697447,-0.030061471
0.057140924,0.08908783,0.025194017518242975
0.10227766213881556,0.1542842360463973,0.050271088
0.080463293,0.12421192161341486,0.036714665
0.009936582,0.039335064000746156,-0.0194619
-0.050140198,-0.015098813,-0.085181582
-0.068532756,-0.025543537,-0.111521976
-0.05196982,-0.005702916,-0.098236724
-0.015984509,0.023635428715321052,-0.055604447
0.015026655104129615,0.04182461,-0.0117713
0.024022573578560663,0.057184521,-0.009139373
0.017736053,0.057585927405998764,-0.022113821
0.013151552199077975,0.047299953,-0.020996848
0.019378396012703344,0.043706974,-0.004950182
0.03666227,0.1134842067119112,-0.040159666